1、aesthet，esthet=feeling 感觉
447、sid=sit 坐
448、sight=vision 眼光
449、sign=mark 记号，信号
450、simil，simul，sembl=alike，same 相类似，一样
451、sinu=bend 弯曲
452、sist=stand 站立
453、soci=companion 同伴，社会 

454、sol=alone 单独
455、sol=sun 太阳
456、solv，solu，solut=loosen 松开
457、som=body 身体
458、somn=sleep 睡眠
459、son=sound 声音
460、soph=wise 智慧，聪明
461、sort=kind 种类
462、speci=look，kind 外观，种类

463、spect，spic=look，see 看
464、sper=hope 希望
465、spers=scatter 散开
466、spin=thorn 刺
467、spir=breathe 呼吸
468、splend=shine 发光
469、spond，spons=promise 承诺
470、st，sta，stat，stan，stant，stin=stand 站，立

471、stall=place 放
472、stell=star 星星
473、stigma=mark 标志，斑点
474、still=small drop 小水滴
475、sting，stinct，stimul=prick 刺，刺激

476、stitut，stit=set up，place 建立，放

477、strain，strict，string=tighten 拉紧

478、strat=spread out 扩散，层次

479、struct=build 建立
480、sult=leap 跳
481、sum，summ=add up 总，加
482、sume，sumpt=take 拿，取
483、sur=sure 肯定
484、surg=rise 升起
485、tach=nail 钉子
486、tact，tag，tig，ting=touch 接触
487、tail=cut 剪，割
488、tain，ten，tin，tinu=hold 拿住
489、tard=slow 慢
490、techn=skill，ability 技术，能力
491、tect=cover 盖上
492、tele=far 远，电
493、temn，tempt=scorn 蔑视
494、temper，tempor=time 时间
495、tempt=try 尝试 

496、tend，tent，tens=stretch 伸展

497、tenu=thin 细，薄

498、termin=limit 界限
499、terr=earth 土地

500、terr=frighten 恐，怕

501、test=test，witness 测试，证据

502、text=weave 编织
503、the，theo=god 神
504、therm=heat 热
505、thesis，thet=setting 放置

506、tim=fear 害怕
507、tir=draw 拉
508、toler=endure 容忍
509、tom，tomy=cut 切割

510、tort=twist 扭曲
511、touch=touch 摸，碰

512、tour，torn=turn 转
513、tox=poison 毒
514、tract=draw 拉，拖

515、treat=handle 处理
516、trem=quiver 颤抖

517、trench=cut 切，割
518、tribut=give 给予
519、trit=rub 摩擦
520、trop=turn 转
521、troph=nutrition 营养

522、tru=true 相信，真实

523、trud，trus=push 推
524、turb=stir 搅动
525、tut，tuit=protect 保护

526、twine=twine 编织
527、typ=type 模式，形状

528、umbr=shadow 影子
529、un，uni=one 单一，一个

530、und=wave 波动
531、up=up，over 向上
532、urb=city 城市
533、urin，ur=urine 尿
534、us，util=use 用
535、vac，vacu，van，void=empty 空

536、vad，vas=go 走
537、vag，vagr=wander 漫游 

538、vail，val=strong 强壮

539、val，valu=value 价值

540、vapor=steam 蒸汽

541、vari，vary=change 变化

542、veil=cover 盖上

543、ven，vent=come 来

544、venge=punish 惩罚，报仇

545、vent=wind 风

546、ver=true 真实
547、verb=word 词语
548、vers，vert=turn 转
549、vest=clothes 衣服
550、vestig=footprint，rack 脚印，踪迹

551、vi，via，vey，voy=way 道路

552、vibr=swing 摇摆

553、vict，vinc=conquer，overcome 征服，克服

554、vid，vis=see 看
555、vid，vis=separate 分开
556、vil=base 卑劣

557、vir=man 男人
558、viv，vit，vig=life 生命
559、voc，vok=call，voice 叫喊，声音
560、vol，volunt=wish，will 意志，意愿
561、volv，volu，volt=roll，turn 卷，转
562、vor=eat 吃
563、vot=vow 发誓
564、vulg=people 人群
565、vuls，vult=pluck，tear 收缩，撕开
566、ware=watch 注视
567、zeal=ardor 热心(Z 只是为了代表闪电，故电又有激情、热流等含义)

568、zoo=animal 动物
